raw_row_index,record_id,compound_id,target,e3_ligase,cell_line,treatment_time_h,dc50_raw,dc50_obs_type,dc50_value,dc50_lower,dc50_upper,dmax_raw,dmax_obs_type,dmax_value,dmax_lower,dmax_upper,pctdeg_raw,pctdeg_value,source_quality,article_doi,provisional_activity_evidence,stratum,annotator_activity_evidence,annotator_confidence,annotator_note
6267,6267,3806,EP300,CRBN,RS4-11,4.0,0.8,exact,0.8,,,77,exact,77.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c00492,P,exact|P,P,中,DC50=0.8远小于100，虽然DMax=77<80，但不足DC50更有说服力
2040,2040,1383,BTK,CRBN,,24.0,10,exact,10.0,,,68,exact,68.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/jacs.9b13907,P,exact|P,A,中,DC50=10小于100，但是DMax=68，与80相差略微偏大
11141,11169,7153,TEAD3,CRBN,,24.0,32.7,exact,32.7,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acsmedchemlett.4c00029,P,exact|P,P,中,"DC50=32.7 nM exact，≤100 nM → 按效力判 P；Dmax 缺失，疗效上限未确认。DC50 测量本身预设了降解曲线，故活性成立。建议 §5 明确""P 是否要求 Dmax 佐证"
12622,12655,8271,SIRT6,CRBN,,36.0,105.74/238.79,exact,105.74,,,94.81/90.61,exact,94.81,,,85.9/93.6,89.75,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c01223,P,exact|P,P,中,虽然DC50=105.74略微大于100，但是DMax=94.81接近100
4928,4928,2835,BTK,CRBN,,24.0,8.1,exact,8.1,,,72.4,exact,72.4,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.ejmech.2021.113820,P,exact|P,P,中,
6276,6276,3811,CBP,CRBN,RS4-11,4.0,3.3,exact,3.3,,,95,exact,95.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c00492,P,exact|P,P,高,
10825,10853,6903,AKR1C2,CRBN,22Rv1,72.0,49,exact,49.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1038/s42004-024-01177-4,P,exact|P,P,中,"DC50=49 nM exact，≤100 nM → 按效力判 P；Dmax 缺失，疗效上限未确认。DC50 测量本身预设了降解曲线，故活性成立。建议 §5 明确""P 是否要求 Dmax 佐证"
12395,12428,8066,sEH,CRBN,,24.0,19,exact,19.0,,,77,exact,77.0,,,83/61/82,75.33333333333333,PROTAC-DB 3.0 (database summary of literature),10.1021/acsmedchemlett.4c00357,P,exact|P,P,中,
14163,14196,9398,BTK,CRBN,,,5.37,exact,5.37,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,P,exact|P,P,高,
11854,11884,7598,LCK,CRBN,,6.0,2.46,exact,2.46,,,87,exact,87.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c00481,P,exact|P,P,高,
13230,13263,8613,RET,CRBN,,,1.35,exact,1.35,,,87,exact,87.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c02083,P,exact|P,P,高,
2038,2038,1381,BTK,CRBN,,24.0,8.6,exact,8.6,,,91,exact,91.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/jacs.9b13907,P,exact|P,P,高,
9354,9354,5971,c-Src,CRBN,,18.0,5,exact,5.0,,,,endpoint-missing,,,,86,86.0,PROTAC-DB 3.0 (database summary of literature),10.1021/acschembio.3c00548,P,exact|P,P,高,
7089,7089,4321,STAT5,CRBN,,18.0,230,exact,230.0,,,>95,right-censored,,95.0,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.2c01665,P,exact|P,P,中,
12991,13024,8496,BRD4,KLHDC2,RD/U2OS/PC3/22Rv1,,548/13729/20071,exact,548.0,,,99.4/59.5/30,exact,99.4,,,,,PROTAC-DB 3.0 (database summary of literature),10.1038/s41467-024-52966-3,P,exact|P,P,中,
5638,5638,3344,AR,CRBN,VCaP/LNCaP,24.0,4.6/1.2,exact,4.6,,,99/99,exact,99.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01264,P,exact|P,P,高,
11890,11920,7621,AR L702H,CRBN,LNCaP,702.0,469,exact,469.0,,,100,exact,100.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c00269,P,exact|P,P,中,
4137,4137,2342,BRD4,VHL,RD/HEK-293,4.0,63.10,exact,63.1,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.1c01496,P,exact|P,P,中,
12947,12980,8473,ROS1,CRBN,,,56,exact,56.0,,,45,exact,45.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c01205,P,exact|P,A,中,DC50=56，DMax=45均在灰色区域内
14249,14282,9484,BTK,CRBN,,,0.586,exact,0.586,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,P,exact|P,P,高,
13178,13211,8595,RET G810R,CRBN,,,14.5,exact,14.5,,,96,exact,96.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c02083,P,exact|P,P,高,
12936,12969,8466,ROS1,CRBN,,,9,exact,9.0,,,94,exact,94.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c01205,P,exact|P,P,高,
11691,11721,7509,IKZF1,CRBN,OCI-LY10,6.0,56,exact,56.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01823,P,exact|P,P,中,
14195,14228,9430,BTK,CRBN,,,5.69,exact,5.69,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,P,exact|P,P,高,
14244,14277,9479,BTK,CRBN,,,1.36,exact,1.36,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,P,exact|P,P,高,
13838,13871,9076,ERalpha,CRBN,MCF-7,,0.04062,exact,0.04062,,,79,exact,79.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c01401,P,exact|P,P,高,
14159,14192,9394,BTK,CRBN,,,0.534,exact,0.534,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,P,exact|P,P,高,
12437,12470,8105,PIN1,CRBN,MDA-MB-468,24.0,20,exact,20.0,,,78.91,exact,78.91,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c01412,P,exact|P,P,中,
14200,14233,9435,BTK,CRBN,,,1.69,exact,1.69,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,P,exact|P,P,高,
4151,4151,2354,TTK,CRBN,COLO-205/HCT-116,6.0,3.04/663,exact,3.04,,,85/50,exact,85.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.1c01768,P,exact|P,P,高,
10442,10470,6709,CBP,CRBN,VCaP,4.0,0.1,exact,0.1,,,>= 95,exact,95.0,,,51/84/94/99/98/54/0/0/0,53.333333333333336,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01789,P,exact|P,P,高,
13227,13260,8612,RET,CRBN,,,25.7,exact,25.7,,,99,exact,99.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c02083,P,exact|P,P,高,
5315,5315,3110,BRAF V600E,CRBN,,24.0,20,exact,20.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acsmedchemlett.2c00039,P,exact|P,P,中,
11769,11799,7550,CDK4,CRBN,JURKAT,12.0,9.8,exact,9.8,,,75,exact,75.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c00965,P,exact|P,P,中,
14284,14317,9518,BTK,CRBN,,,"1,15",exact,1.15,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,P,exact|P,P,高,
11248,11276,7194,EGFR L858R/T790M/C797S,VHL,NCI-H1975,48.0,630,exact,630.0,,,94,exact,94.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.ejmech.2024.116489,P,exact|P,P,中,
2948,2948,2050,BRAF V600E,CRBN,,24.0,100,exact,100.0,,,51,exact,51.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1038/s41589-020-0609-7,P,exact|P,A,中,DC50=100，DMax=51均在灰色区域内
412,412,257,AR,VHL,VCaP,20.0,5,exact,5.0,,,98,exact,98.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1038/s42003-018-0105-8,P,exact|P,P,高,
8263,8263,5089,AKT1,VHL,SW620,24.0,23,exact,23.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.2c01454,P,exact|P,P,中,
2849,2849,1996,EGFR e19d,VHL,,48.0,3.54,exact,3.54,,,74.8,exact,74.8,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.ejmech.2020.112781,P,exact|P,P,中,
11761,11791,7546,CDK4,CRBN,JURKAT,12.0,10.5,exact,10.5,,,100,exact,100.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c00965,P,exact|P,P,高,
5386,5386,3174,BTK C481G,CRBN,HELA,96.0,26,exact,26.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1038/s41375-019-0440-x,P,exact|P,P,中,
6163,6163,3746,BRD3,CRBN,RD/MV4-11,4.0,0.7,exact,0.7,,,99,exact,99.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c00520,P,exact|P,P,高,
14314,14347,9547,BTK,CRBN,,,2.26,exact,2.26,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,P,exact|P,P,高,
14168,14201,9403,BTK,CRBN,,,1.61,exact,1.61,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,P,exact|P,P,高,
11875,11905,7615,AR,CRBN,LNCaP,,23,exact,23.0,,,95,exact,95.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c00269,P,exact|P,P,高,
8431,8431,5216,LRRK2,VHL,,4.0,32,exact,32.0,,,59,exact,59.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/jacs.2c05499,P,exact|P,A,中,
6722,6722,4103,EML4-ALK,CRBN,,,26,exact,26.0,,,90,exact,90.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.2c01864,P,exact|P,P,高,
5691,5691,3397,ERalpha,CRBN,MCF-7,,0.8,exact,0.8,,,106,exact,106.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01186,P,exact|P,P,高,
2179,2179,1509,FAK,CRBN,,8.0,1.3/0.4,exact,1.3,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1007/s13238-020-00732-8,P,exact|P,P,高,
10232,10260,6572,CBP,CRBN,,24.0,12,exact,12.0,,,62,exact,62.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c02124,P,exact|P,P,中,
5669,5669,3375,ERalpha,CRBN,MCF-7,,2.3,exact,2.3,,,84,exact,84.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01186,P,exact|P,P,高,
13193,13226,8600,RET G810R,CRBN,,,91.5,exact,91.5,,,88,exact,88.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c02083,P,exact|P,P,高,
14197,14230,9432,BTK,CRBN,,,3.67,exact,3.67,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,P,exact|P,P,高,
5712,5712,3417,HDAC8,VHL,THP-1,24.0,75,exact,75.0,,,94,exact,94.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1002/anie.202310059,P,exact|P,P,高,
6920,6920,4182,ITK,CRBN,JURKAT,16.0,32.7,exact,32.7,,,99,exact,99.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.2c02078,P,exact|P,P,高,
443,443,280,BTK,CRBN,NAMALWA,24.0,80.6,exact,80.6,,,96,exact,96.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.biochem.8b00391,P,exact|P,P,高,
13405,13438,8768,ERalpha,CRBN,MCF-7,12.0,0.1,exact,0.1,,,86,exact,86.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c01521,P,exact|P,P,高,
9832,9860,6319,FKBP12,CRBN,HEK-293,18.0,428,exact,428.0,,,88,exact,88.0,,,90/85/59/0/0/0/6,34.285714285714285,PROTAC-DB 3.0 (database summary of literature),10.1016/j.chembiol.2024.01.003,P,exact|P,P,中,
12061,12091,7772,MAP4K1,CRBN,JURKAT,24.0,> 10000,exact,10000.0,,,22.3,exact,22.3,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c00644,N,exact|N,N,高,
4959,4959,2851,JAK1,CRBN,,,1150,exact,1150.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.biopha.2024.116167,N,exact|N,N,高,
315,315,187,p38delta,VHL,MDA-MB-231,,1890,exact,1890.0,,,78.7,exact,78.7,,,,,PROTAC-DB 3.0 (database summary of literature),10.1038/s41467-018-08027-7,N,exact|N,A,中,
2309,2309,1593,PDEdelta,CRBN,SW480,24.0,30000,exact,30000.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.0c00929,N,exact|N,N,高,
9002,9002,5684,STING,CRBN,THP-1,48.0,3200,exact,3200.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.1c01948,N,exact|N,N,高,
12586,12619,8235,STING,CRBN,THP-1,24.0,2580,exact,2580.0,,,,endpoint-missing,,,,83,83.0,PROTAC-DB 3.0 (database summary of literature),10.1016/j.ejmech.2024.116883,N,exact|N,N,高,
9486,9486,6050,APT1,CRBN,RAJI,4.0,1000,exact,1000.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1002/cbic.202300736,N,exact|N,N,高,
1516,1516,1024,BCR-ABL,IAP,K562,6.0,300,exact,300.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1111/cas.13284,A,exact|A,A,中,
5444,5444,3217,BCL2,VHL,,16.0,316.2,exact,316.2,,,79,exact,79.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1038/s41467-021-27210-x,A,exact|A,P,中,
12056,12086,7767,MAP4K1,CRBN,JURKAT,24.0,962.35,exact,962.35,,,63.6,exact,63.6,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c00644,A,exact|A,A,高,
2957,2957,2059,BRAF V600E,CRBN,,24.0,500,exact,500.0,,,50,exact,50.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1038/s41589-020-0609-7,A,exact|A,A,高,
780,780,485,STAT3,CRBN,,4.0,180,exact,180.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.9b01530,A,exact|A,A,高,
12445,12478,8113,PSMB5,CRBN,,,900,exact,900.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.bioorg.2024.107801,A,exact|A,A,高,
13317,13350,8680,MAP4K1,CRBN,JURKAT,24.0,632.3,exact,632.3,,,52,exact,52.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c01906,A,exact|A,A,高,
6453,6453,3951,ERalpha,VHL,MCF-7,24.0,330/570,exact,330.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.bioorg.2023.106590,A,exact|A,A,高,
13616,13649,8932,AURKB,CRBN,MV4-11,6.0,363,exact,363.0,,,48.3,exact,48.3,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acsptsci.4c00405,A,exact|A,A,高,
5687,5687,3393,ERalpha,CRBN,MCF-7,,393,exact,393.0,,,58,exact,58.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01186,A,exact|A,A,高,
5291,5291,3086,BTK,CRBN,,16.0,107,exact,107.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acsmedchemlett.1c00178,A,exact|A,A,中,
11290,11318,7227,RIPK1,VHL,,,50000,exact,50000.0,,,101,exact,101.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.immuni.2024.04.025,A,exact|A,A,高,
5893,5893,3534,SMARCA2,VHL,,,682,exact,682.0,,,62,exact,62.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c00953,A,exact|A,A,高,
11692,11722,7510,IRAK4,CRBN,OCI-LY10,24.0,128,exact,128.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01823,A,exact|A,A,中,
9232,9232,5866,CAMKK2,VHL,HEK-293,24.0,510,exact,510.0,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01137,A,exact|A,A,高,
15270,15303,10499,ERalpha,CRBN,MCF-7,,<5,left-censored,,,5.0,>50 and <75,interval-censored,,50.0,75.0,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,中,
14420,14453,9651,KRAS,CRBN,ASPC-1,24.0,<=100,left-censored,,,100.0,>70,right-censored,,70.0,,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,中,
