record_id,compound_id,poi,e3,scaffold,pub_group,year_int,temporal_group,poi_e3
0,1,BRD7,VHL,O=C(COCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD7||VHL
1,1,BRD9,VHL,O=C(COCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD9||VHL
2,2,BRD7,VHL,O=C(COCCOCCOCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD7||VHL
3,2,BRD9,VHL,O=C(COCCOCCOCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD9||VHL
4,3,BRD9,CRBN,O=C(COCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD9||CRBN
5,4,BRD9,CRBN,O=C(COCCOCCOCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD9||CRBN
6,5,BRD7,DCAF15,O=C(COCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCc1ccc(S(=O)(=O)Nc2cccc3cc[nH]c23)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD7||DCAF15
7,5,BRD9,DCAF15,O=C(COCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCc1ccc(S(=O)(=O)Nc2cccc3cc[nH]c23)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD9||DCAF15
8,6,BRD7,DCAF15,O=C(COCCOCCOCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCc1ccc(S(=O)(=O)Nc2cccc3cc[nH]c23)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD7||DCAF15
9,6,BRD9,DCAF15,O=C(COCCOCCOCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCc1ccc(S(=O)(=O)Nc2cccc3cc[nH]c23)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD9||DCAF15
10,7,BRD7,VHL,O=C(COCCOCCOCCOCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD7||VHL
11,7,BRD9,VHL,O=C(COCCOCCOCCOCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD9||VHL
12,8,BRD7,VHL,O=C(COCCOCCCCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD7||VHL
13,8,BRD9,VHL,O=C(COCCOCCCCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD9||VHL
14,9,BRD7,VHL,O=C(COCCOCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD7||VHL
15,9,BRD9,VHL,O=C(COCCOCCOCCN1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD9||VHL
16,10,BRD7,VHL,O=C(COCCOCCOCC(=O)N1CCN(Cc2ccc(-c3c[nH]c(=O)c4cnccc34)cc2)CC1)NCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(-c2cncs2)cc1,10.1021/acs.jmedchem.8b01413,,UNKNOWN,BRD7||VHL
