task,split_regime,seed,n_records,mae,rmse,r2,spearman
T1_pdc50_reg,poi,20260815,2132,0.7979182722730549,1.0947629400906331,-0.36217008248355964,0.10114821302418257
T1_pdc50_reg,poi,20260816,2132,0.8604965884867545,1.1795160150523387,-0.5812438412473044,0.0034596737846484577
T1_pdc50_reg,poi,20260817,2132,0.8253892552726256,1.1312499924406447,-0.4544819689065924,0.06470501125163347
T1_pdc50_reg,pub,20260815,2132,0.85911245625709,1.1753256086875408,-0.5700285899920225,-0.0002375124751637751
T1_pdc50_reg,pub,20260816,2132,0.8198500918867414,1.1229829848736914,-0.4333013670296879,0.1722052256101197
T1_pdc50_reg,pub,20260817,2132,0.8416814733148593,1.1503674055456905,-0.5040570128388238,0.02300105888046502
T1_pdc50_reg,random,20260815,2132,0.768994612896454,1.0907678555916929,-0.3522463725193057,0.16039411297243766
T1_pdc50_reg,random,20260816,2132,0.7883342274800355,1.1094125601932163,-0.3988698823998631,0.11321916538922276
T1_pdc50_reg,random,20260817,2132,0.8124644874877782,1.1274970686035721,-0.4448474836967147,0.09198112794990787
T1_pdc50_reg,scaffold,20260815,2132,0.8384052744003585,1.1621994887493317,-0.5351560313055368,0.03651409660469919
T1_pdc50_reg,scaffold,20260816,2132,0.7796217540822908,1.0897473053828617,-0.3497171639206387,0.18280940659506753
T1_pdc50_reg,scaffold,20260817,2132,0.7597010412529365,1.0421198630070123,-0.2343164316408497,0.17971137531816855
