target_uniprot,N,P,U
O14965,0,0,179
O60885,0,28,84
P00374,0,0,8
P00533,14,336,1229
P01106,0,0,60
P01116,56,103,1745
P03372,57,103,1879
P06239,6,12,71
P09874,0,12,0
P10275,82,775,2016
P10415,0,80,314
P10636,0,0,6
P11802,0,4,14
P15056,0,0,952
P18031,18,23,0
P22607,0,0,51
P25440,0,3,0
P30291,0,0,136
P30530,0,23,233
P36888,0,0,18
P37840,0,0,25
P41182,0,0,154
P42568,0,0,12
P49336,6,10,0
P50613,0,0,192
P50750,1,10,8
P51531,63,268,342
P51532,7,96,150
P84022,0,0,57
Q06187,45,333,935
Q07817,83,162,596
Q07889,0,0,171
Q13547,1,0,6
Q15910,0,0,91
Q16189,0,1,10
Q16665,0,0,264
Q86TI2,0,0,8
Q92793,0,0,258
Q92830,0,29,72
Q92918,2,66,85
Q9BY41,0,1,0
Q9NWZ3,8,284,355
Q9UKK9,2,0,9
Q9UM73,0,0,79
Q9Y616,21,6,24
