task,protocol,split_regime,seed,metric,value,n_records,n_structures,conflict_structures_total,dropped_records,majority_ties_dropped
T3_pn_clf,record_level_all,poi,20260815,roc_auc,0.6198679521406877,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260815,pr_auc,0.9033813785890383,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260815,balanced_accuracy,0.49118252179876554,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260815,mcc,-0.03785749737673131,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260815,brier,0.13934736239928597,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260815,ece_10bin,0.114473016274932,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260815,sensitivity,0.9696531791907514,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260815,specificity,0.012711864406779662,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,poi,20260815,roc_auc,0.6749736953986541,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260815,pr_auc,0.9426782964709022,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260815,balanced_accuracy,0.49294229138610407,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260815,mcc,-0.0257155566773612,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260815,brier,0.10848827386201879,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260815,ece_10bin,0.0822653750674181,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260815,sensitivity,0.967479674796748,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260815,specificity,0.018404907975460124,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,poi,20260815,roc_auc,0.6439788572228345,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260815,pr_auc,0.9377548631557552,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260815,balanced_accuracy,0.4931441242848895,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260815,mcc,-0.021977339386832006,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260815,brier,0.10594285177863548,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260815,ece_10bin,0.07762131420958869,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260815,sensitivity,0.9604261796042618,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260815,specificity,0.02586206896551724,2203,2203,132,0,75
T3_pn_clf,record_level_all,poi,20260816,roc_auc,0.5740649033751347,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260816,pr_auc,0.8784201308200862,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260816,balanced_accuracy,0.5455294160869991,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260816,mcc,0.13317194405476734,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260816,brier,0.1418748300104551,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260816,ece_10bin,0.11813266579245708,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260816,sensitivity,0.951228323699422,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260816,specificity,0.13983050847457626,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,poi,20260816,roc_auc,0.5868776260067596,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260816,pr_auc,0.9069844207612987,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260816,balanced_accuracy,0.5638073624382168,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260816,mcc,0.1675189540201235,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260816,brier,0.11162253320075019,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260816,ece_10bin,0.08811262159535635,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260816,sensitivity,0.9527680991095625,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260816,specificity,0.17484662576687116,2909,2146,132,331,0
