task,kind,split_regime,seed,split_family,training_role,n_train,n_external,n_train_positive,n_train_negative,model_path,model_sha256,internal_dataset_sha256,internal_feature_sha256,manifest_sha256,external_cohort_sha256,external_feature_sha256,threshold_primary,n_estimators,max_depth,learning_rate,subsample,colsample_bytree
T1_pdc50_reg,reg,random,20260815,all_records_3way,train,1585,2132,,,external_results/models/T1_pdc50_reg__random__seed20260815.json,12bef266b50ea727d261b256291ca3477bb0498bce9961ea83a8510ed587ab88,b6b0b6b75c9b8f1ca8efdefedea0ff133cf4847c68839a50f99dd6b02412603b,4261f04f9c55c283723af6c837677b9122a67f423f7fba4fc50b4674ef3f81c9,c0606e43f69a702f0bf7e70ec1836a5949221b306d809da4c54bb845419bff62,7850c45f1ef6d537a4f606552d3ad48f8311fc85a57582377d678f55c6b4d7b7,215535f3f29e036c8c262bebb35464ba4b6a605f971ec9b6069da3686ecb7114,,300,6,0.05,0.8,0.8
T2_dmax_reg,reg,random,20260815,all_records_3way,train,1079,2036,,,external_results/models/T2_dmax_reg__random__seed20260815.json,7b6aafb438bc57ab010d2d84440c2150218070dc46a7702d76738814fea1057e,b6b0b6b75c9b8f1ca8efdefedea0ff133cf4847c68839a50f99dd6b02412603b,4261f04f9c55c283723af6c837677b9122a67f423f7fba4fc50b4674ef3f81c9,c0606e43f69a702f0bf7e70ec1836a5949221b306d809da4c54bb845419bff62,7850c45f1ef6d537a4f606552d3ad48f8311fc85a57582377d678f55c6b4d7b7,215535f3f29e036c8c262bebb35464ba4b6a605f971ec9b6069da3686ecb7114,,300,6,0.05,0.8,0.8
T3_pn_clf,clf,random,20260815,all_records_3way,train,1817,3240,1511.0,306.0,external_results/models/T3_pn_clf__random__seed20260815.json,0866a5387826eef4424a072fdb5a3442c14222a770e82fb1c107972fb25e6a8d,b6b0b6b75c9b8f1ca8efdefedea0ff133cf4847c68839a50f99dd6b02412603b,4261f04f9c55c283723af6c837677b9122a67f423f7fba4fc50b4674ef3f81c9,c0606e43f69a702f0bf7e70ec1836a5949221b306d809da4c54bb845419bff62,7850c45f1ef6d537a4f606552d3ad48f8311fc85a57582377d678f55c6b4d7b7,215535f3f29e036c8c262bebb35464ba4b6a605f971ec9b6069da3686ecb7114,0.5,300,6,0.05,0.8,0.8
T1_pdc50_reg,reg,random,20260816,all_records_3way,train,1598,2132,,,external_results/models/T1_pdc50_reg__random__seed20260816.json,b62d76b63d97e869f093ce34cf0070917da8f5fdb7f63025f8c02dfaa761e18a,b6b0b6b75c9b8f1ca8efdefedea0ff133cf4847c68839a50f99dd6b02412603b,4261f04f9c55c283723af6c837677b9122a67f423f7fba4fc50b4674ef3f81c9,c0606e43f69a702f0bf7e70ec1836a5949221b306d809da4c54bb845419bff62,7850c45f1ef6d537a4f606552d3ad48f8311fc85a57582377d678f55c6b4d7b7,215535f3f29e036c8c262bebb35464ba4b6a605f971ec9b6069da3686ecb7114,,300,6,0.05,0.8,0.8
T2_dmax_reg,reg,random,20260816,all_records_3way,train,1095,2036,,,external_results/models/T2_dmax_reg__random__seed20260816.json,edbd30ea9bf89bdc73008641ce1637d1ea3f81ea2ddf74f71d37aed8b613daa7,b6b0b6b75c9b8f1ca8efdefedea0ff133cf4847c68839a50f99dd6b02412603b,4261f04f9c55c283723af6c837677b9122a67f423f7fba4fc50b4674ef3f81c9,c0606e43f69a702f0bf7e70ec1836a5949221b306d809da4c54bb845419bff62,7850c45f1ef6d537a4f606552d3ad48f8311fc85a57582377d678f55c6b4d7b7,215535f3f29e036c8c262bebb35464ba4b6a605f971ec9b6069da3686ecb7114,,300,6,0.05,0.8,0.8
T3_pn_clf,clf,random,20260816,all_records_3way,train,1837,3240,1522.0,315.0,external_results/models/T3_pn_clf__random__seed20260816.json,e7a13d1c9bd3ae772a85e498fdda06567a73cf3aa2f4abe76d42232ad76986c1,b6b0b6b75c9b8f1ca8efdefedea0ff133cf4847c68839a50f99dd6b02412603b,4261f04f9c55c283723af6c837677b9122a67f423f7fba4fc50b4674ef3f81c9,c0606e43f69a702f0bf7e70ec1836a5949221b306d809da4c54bb845419bff62,7850c45f1ef6d537a4f606552d3ad48f8311fc85a57582377d678f55c6b4d7b7,215535f3f29e036c8c262bebb35464ba4b6a605f971ec9b6069da3686ecb7114,0.5,300,6,0.05,0.8,0.8
T1_pdc50_reg,reg,random,20260817,all_records_3way,train,1566,2132,,,external_results/models/T1_pdc50_reg__random__seed20260817.json,4c9a586661a4d5f3a760024953d98411f56aa5302065b69d118060ae6bffb9d6,b6b0b6b75c9b8f1ca8efdefedea0ff133cf4847c68839a50f99dd6b02412603b,4261f04f9c55c283723af6c837677b9122a67f423f7fba4fc50b4674ef3f81c9,c0606e43f69a702f0bf7e70ec1836a5949221b306d809da4c54bb845419bff62,7850c45f1ef6d537a4f606552d3ad48f8311fc85a57582377d678f55c6b4d7b7,215535f3f29e036c8c262bebb35464ba4b6a605f971ec9b6069da3686ecb7114,,300,6,0.05,0.8,0.8
T2_dmax_reg,reg,random,20260817,all_records_3way,train,1071,2036,,,external_results/models/T2_dmax_reg__random__seed20260817.json,1b53e82815d996384633543150d62998a8863534ed00449580790e7d673df044,b6b0b6b75c9b8f1ca8efdefedea0ff133cf4847c68839a50f99dd6b02412603b,4261f04f9c55c283723af6c837677b9122a67f423f7fba4fc50b4674ef3f81c9,c0606e43f69a702f0bf7e70ec1836a5949221b306d809da4c54bb845419bff62,7850c45f1ef6d537a4f606552d3ad48f8311fc85a57582377d678f55c6b4d7b7,215535f3f29e036c8c262bebb35464ba4b6a605f971ec9b6069da3686ecb7114,,300,6,0.05,0.8,0.8
T3_pn_clf,clf,random,20260817,all_records_3way,train,1807,3240,1486.0,321.0,external_results/models/T3_pn_clf__random__seed20260817.json,9b4b32082e20ac4df307f0a1ed37093ed2e35f033250ea1fd81373e8e9d62929,b6b0b6b75c9b8f1ca8efdefedea0ff133cf4847c68839a50f99dd6b02412603b,4261f04f9c55c283723af6c837677b9122a67f423f7fba4fc50b4674ef3f81c9,c0606e43f69a702f0bf7e70ec1836a5949221b306d809da4c54bb845419bff62,7850c45f1ef6d537a4f606552d3ad48f8311fc85a57582377d678f55c6b4d7b7,215535f3f29e036c8c262bebb35464ba4b6a605f971ec9b6069da3686ecb7114,0.5,300,6,0.05,0.8,0.8
T1_pdc50_reg,reg,scaffold,20260815,all_records_3way,train,1513,2132,,,external_results/models/T1_pdc50_reg__scaffold__seed20260815.json,77430ed4651f8e61b78375a7719febde32b5cadfc0325d32e6b78356c4727950,b6b0b6b75c9b8f1ca8efdefedea0ff133cf4847c68839a50f99dd6b02412603b,4261f04f9c55c283723af6c837677b9122a67f423f7fba4fc50b4674ef3f81c9,c0606e43f69a702f0bf7e70ec1836a5949221b306d809da4c54bb845419bff62,7850c45f1ef6d537a4f606552d3ad48f8311fc85a57582377d678f55c6b4d7b7,215535f3f29e036c8c262bebb35464ba4b6a605f971ec9b6069da3686ecb7114,,300,6,0.05,0.8,0.8
