task,cluster_unit,split_regime,seed,metric,point_estimate,bootstrap_mean,bootstrap_sd,q025,q500,q975,n_records,n_clusters,bootstrap_reps,finite_bootstrap_reps
T3_pn_clf,source_patent_id,poi,20260815,roc_auc,0.6198679521406877,0.622737056854854,0.06576044684490816,0.4848833049321513,0.624934554922784,0.746055191591393,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260815,pr_auc,0.9033813785890383,0.903278974917205,0.03538315870957444,0.8232494763100093,0.9071833268064796,0.9602281284527107,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260815,balanced_accuracy,0.49118252179876554,0.4910440455888324,0.008551078498928506,0.47211824912786327,0.49249672156047897,0.5045313422271308,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260815,mcc,-0.03785749737673131,-0.033634719362099615,0.030142744701082604,-0.08911820412140234,-0.03415743354209756,0.028116747299903842,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260815,brier,0.13934736239928597,0.13898914092251538,0.031717053449717605,0.08094518157772802,0.1375889325545917,0.20361391845215782,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260815,ece_10bin,0.114473016274932,0.11817601332012566,0.0332334423435109,0.05833947262845699,0.11681141194135838,0.18737331529580395,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260815,sensitivity,0.9696531791907514,0.9693619712773373,0.015452579342001678,0.9320919217968738,0.9718804052384482,0.9918759679551112,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260815,specificity,0.012711864406779662,0.01272611990032754,0.007715806662048995,0.0,0.012058579144162859,0.02968303701544739,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260816,roc_auc,0.5740649033751347,0.5707135214733392,0.06833124614374904,0.4354412898584804,0.5712743834635902,0.7010619729811843,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260816,pr_auc,0.8784201308200862,0.8756927195475157,0.044408734895028244,0.7739540878314624,0.88005287301889,0.9492417824548501,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260816,balanced_accuracy,0.5455294160869991,0.5395038073758872,0.047049374928579774,0.4782536950737159,0.538192431611531,0.6355316083604347,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260816,mcc,0.13317194405476734,0.09582741625653685,0.11788642862354683,-0.07767207866616604,0.11638239967740817,0.29516660061840655,3240,69,1000,1000
T3_pn_clf,source_patent_id,poi,20260816,brier,0.1418748300104551,0.1439686799896096,0.03259444920821812,0.0848570827740436,0.14312731636795695,0.21259474621144397,3240,69,1000,1000
